LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
0,0,0,167.4426911380452,0,0,0,0,0,0
0,0,0,186.95817379814787,0,0,0,0,0,0
0,0,0,57.91958158553238,0,0,0,0,0,0
0,0,0,141.78394516902077,0,0,0,0,0,0
0,0,0,326.59442455070484,0,0,0,0,0,0
0,0,0,101.21088737310644,0,0,0,0,0,0
0,0,0,250.39773251538585,0,0,0,0,0,0
0,0,0,75.55880108740547,0,0,0,0,0,0
0,0,0,71.35911488382256,0,0,0,0,0,0
0,0,0,99.93956318261462,0,0,0,0,0,0
0,0,0,125.35249882188285,0,0,0,0,0,0
0,0,0,127.86526837515018,0,0,0,0,0,0
0,0,0,6.302293382890435,0,0,0,0,0,0
0,0,0,1.5403782812717246,0,0,0,0,0,0
0,0,0,148.31577944568082,0,0,0,0,0,0
0,0,0,0.15169140727626024,0,0,0,0,0,0
0,0,0,100.45486619175476,0,0,0,0,0,0
0,0,0,0.6320750420614947,0,0,0,0,0,0
0,0,0.11601038749895437,33.8690048877073,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,22.723338458222038,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,103.28128919498488,0,0,0,0,0,0
0,0,0,6.234890702024035,0,0,0,0,0,0
0,0,0,7.926681105268473,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,41.94678527097966,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,13.873953172354923,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.2865202972139154,0,0,0,0,0,0
0,0,0,60.36881312341625,0,0,0,0,0,0
0,0,0,0.30591053406727275,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7.512164207033841,0,0,0,0,0,0,0
0,0,0.9024490149664898,67.48105249039598,0,0,0,0,0,0
0,0,26.06434813562244,46.29347920975822,0,0,0,0,0,0
0,0,26.999999999999364,114.39093284063844,0,0,0,0,0,0
0,0,0,98.63194741720802,0,0,0,0,0,0
0,0,0,101.158154890593,0,0,0,0,0,0
0,0,0,201.97776530751068,0,0,0,0,0,0
0,0,0,140.50980922855203,0,0,0,0,0,0
0,0,2.447734109551051,33.91476957768084,0,0,0,0,0,0
0,0,0,39.015183173485994,0,0,0,0,0,0
0,0,0,75.2092652391939,0,0,0,0,0,0
0,0,0,442.07431033254795,0,0,0,0,0,0
0,0,0,442.4582019894717,0,0,0,0,0,0
0,0,0,208.4707925022796,0,0,0,0,0,0
0,0,0,240.783500443547,0,0,0,0,0,0
0,0,0,149.98764466383665,0,0,0,0,0,0
0,0,29.31151821442969,682.5755533858234,0,0,0,0,0,0
0,0,2.3019715208191855,578.5013235750129,0,0,0,0,0,0
0,0,36.04701452087326,948.3423879725696,0,0,0,0,0,0
0,0,29.795234355204368,194.38381966057975,0,0,0,0,0,0
0,0,22.28766471420147,418.94012490904913,0,0,0,0,0,0
0,0,0,187.46987142417697,0,0,0,0,0,0
0,0,0,275.4659265418286,0,0,0,0,0,0
0,0,0,471.23273915297256,0,0,0,0,0,0
0,0,15.224021854446345,209.28965877208415,0,0,0,0,0,0
0,0,18.47163021125106,965.7657131809086,0,0,0,0,0,0
0,0,0,319.7867459356691,0,0,0,0,0,0
0,0,0,338.5966688710645,0,0,0,0,0,0
0,0,0,413.4893950995287,0,0,0,0,0,0
0,0,0,133.1731144345062,0,0,0,0,0,0
0,0,0,310.2044615862127,0,0,0,0,0,0
0,0,0,318.3237554104127,0,0,0,0,0,0
0,0,0,546.6927509940822,0,0,0,0,0,0
0,0,23.038144071387887,739.4014185064842,0,0,0,0,0,0
0,0,0,80.94073977368208,0,0,0,0,0,0
0,0,0,86.51074889672259,0,0,0,0,0,0
0,0,0,150.94955893128662,0,0,0,0,0,0
0,0,0,95.8928741153637,0,0,0,0,0,0
0,0,0,35.54205354466998,0,0,0,0,0,0
0,0,0,132.02638199963638,0,0,0,0,0,0
0,0,0,46.56414939826013,0,0,0,0,0,0
0,0,0,74.25919614144371,0,0,0,0,0,0
0,0,0,1.1529943453388811,0,0,0,0,0,0
0,0,0,3.5492286621983267,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.8444408904230536,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,56.92851737539199,0,0,0,0,0,0
0,0,0,148.10085461076332,0,0,0,0,0,0
0,0,0,102.82695363638109,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,269.40058173305954,0,0,0,0,0,0
0,0,0,112.27554465214949,0,0,0,0,0,0
0,0,0,100.86892452487096,0,0,0,0,0,0
0,0,0,205.0183768232179,0,0,0,0,0,0
0,0,0,223.54475741584747,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,200.92021792561985,0,0,0,0,0,0
0,0,0,207.4757486880184,0,0,0,0,0,0
0,0,0,131.28822286074953,0,0,0,0,0,0
0,0,0,94.79928717876784,0,0,0,0,0,0
0,0,0,30.5395786877765,0,0,0,0,0,0
0,0,0,159.07442264686756,0,0,0,0,0,0
0,0,0,30.085103341697575,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,4.563345322469703,0,0,0,0,0,0
0,0,0,0.6739388366036478,0,0,0,0,0,0
0,0,0,11.080918048769162,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,82.71961093507288,0,0,0,0,0,0
0,0,0,18.117359898056954,0,0,0,0,0,0
0,0,0,0.14087993876632668,0,0,0,0,0,0
0,0,0,135.27386104874674,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
